,code,name
254,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
255,6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune"
256,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
257,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
258,6277,"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
259,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
260,6281,"Modern Education Society's Wadia College of Engineering, Pune"
261,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
262,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
263,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
264,6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
265,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
266,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
267,6293,"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
268,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
269,6303,"Dr. Ashok Gujar Technical Institute's  Dr. Daulatrao Aher College of Engineering, Karad"
270,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
271,6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
272,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
273,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
274,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune"
275,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
276,6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali"
277,6315,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
278,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
279,6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"
280,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
281,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
282,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
283,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
284,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
285,6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune"
286,6326,Karmayogi Institute of Technology
287,6419,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
288,6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv"
289,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
290,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur"
291,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
292,6609,"Jaihind College Of Engineering,Kuran"
293,6622,ISBM College Of Engineering Pune
294,6625,"Universal College of Engineering & Research, Sasewadi"
295,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
296,6632,Navsahyadri Education Society's Group of Institutions
297,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
298,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
299,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
300,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
301,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
302,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
303,6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune"
304,6754,"International Institute of Information Technology (I²IT), Pune."
305,6755,"JSPM Narhe Technical Campus, Pune."
306,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola"
307,6757,"Yashoda Technical Campus, Wadhe, Satara."
